base_symbol,actual_symbol,digits,point,trade_tick_size,trade_tick_value,contract_size,volume_min,volume_max,volume_step,currency_base,currency_profit,currency_margin,samples,spread_min_points,spread_median_points,spread_mean_points,spread_p75_points,spread_p90_points,spread_p95_points,spread_p99_points,spread_max_points,live_bid,live_ask,live_spread_price,live_spread_points,live_vs_p95,audit_time_utc
EURUSD,EURUSDm,5,1e-05,1e-05,1.0,100000.0,0.01,200.0,0.01,EUR,USD,EUR,5000,7.999999999985795,8.000000000008,8.000000000000327,8.000000000008,8.000000000008,8.000000000008,8.000000000008,8.000000000008,1.1615,1.16158,8.000000000008001e-05,8.000000000008,1.0,2026-08-31T17:06:55.809847+00:00
GBPUSD,GBPUSDm,5,1e-05,1e-05,1.0,100000.0,0.01,200.0,0.01,GBP,USD,GBP,5000,9.999999999976694,9.999999999998899,9.999999999999712,9.999999999998899,10.000000000021103,10.000000000021103,10.000000000021103,10.000000000021103,1.35463,1.35473,9.999999999998899e-05,9.999999999998899,0.9999999999977796,2026-08-31T17:06:56.493873+00:00
USDJPY,USDJPYm,3,0.001,0.001,0.6261779973575289,100000.0,0.01,300.0,0.01,USD,JPY,USD,5000,9.999999999990905,9.999999999990905,9.999999999999869,10.000000000019327,10.000000000019327,10.000000000019327,10.000000000019327,10.000000000019327,159.689,159.699,0.010000000000019327,10.000000000019327,1.0,2026-08-31T17:06:57.406924+00:00
USDCHF,USDCHFm,5,1e-05,1e-05,1.2371491135826604,100000.0,0.01,200.0,0.01,USD,CHF,USD,5000,12.999999999996346,12.999999999996346,12.999999999999979,13.000000000007448,13.000000000007448,13.000000000007448,13.000000000007448,13.000000000007448,0.80818,0.80831,0.00012999999999996348,12.999999999996346,0.999999999999146,2026-08-31T17:06:58.167243+00:00
USDCAD,USDCADm,5,1e-05,1e-05,0.7213810118090072,100000.0,0.01,200.0,0.01,USD,CAD,USD,5000,13.999999999980693,14.000000000002897,14.00000000000005,14.000000000002897,14.000000000002897,14.000000000002897,14.000000000002897,14.000000000002897,1.38609,1.38623,0.000140000000000029,14.000000000002897,1.0,2026-08-31T17:06:58.856494+00:00
AUDUSD,AUDUSDm,5,1e-05,1e-05,1.0,100000.0,0.01,200.0,0.01,AUD,USD,AUD,5000,8.999999999992347,9.00000000000345,8.999999999999988,9.00000000000345,9.00000000000345,9.00000000000345,9.00000000000345,9.00000000000345,0.71659,0.71668,9.00000000000345e-05,9.00000000000345,1.0,2026-08-31T17:06:59.540101+00:00
NZDUSD,NZDUSDm,5,1e-05,1e-05,1.0,100000.0,0.01,200.0,0.01,NZD,USD,NZD,5000,13.999999999991795,14.000000000002897,13.999999999999938,14.000000000002897,14.000000000002897,14.000000000002897,14.000000000002897,14.000000000002897,0.59168,0.59182,0.000140000000000029,14.000000000002897,1.0,2026-08-31T17:07:00.108935+00:00
EURGBP,EURGBPm,5,1e-05,1e-05,1.35464,100000.0,0.01,200.0,0.01,EUR,GBP,EUR,5000,12.999999999996346,12.999999999996346,13.000000000000119,13.000000000007448,13.000000000007448,13.000000000007448,13.000000000007448,13.000000000007448,0.85738,0.85751,0.00012999999999996348,12.999999999996346,0.999999999999146,2026-08-31T17:07:00.648341+00:00
EURJPY,EURJPYm,3,0.001,0.001,0.6261779973575289,100000.0,0.01,200.0,0.01,EUR,JPY,EUR,5000,15.999999999991132,15.999999999991132,15.999999999999648,16.000000000019554,16.000000000019554,16.000000000019554,16.000000000019554,16.000000000019554,185.487,185.503,0.015999999999991132,15.999999999991132,0.9999999999982236,2026-08-31T17:07:02.948881+00:00
EURCHF,EURCHFm,5,1e-05,1e-05,1.2371644191513052,100000.0,0.01,200.0,0.01,EUR,CHF,EUR,5000,15.999999999993795,16.0000000000049,16.000000000000203,16.0000000000049,16.0000000000049,16.0000000000049,16.0000000000049,16.0000000000049,0.93873,0.93889,0.000160000000000049,16.0000000000049,1.0,2026-08-31T17:07:04.135416+00:00
EURAUD,EURAUDm,5,1e-05,1e-05,0.7165800000000001,100000.0,0.01,200.0,0.01,EUR,AUD,EUR,5000,16.999999999978144,17.000000000000348,17.00000000000012,17.000000000000348,17.000000000022553,17.000000000022553,17.000000000022553,17.000000000022553,1.62076,1.62093,0.00017000000000000348,17.000000000000348,0.9999999999986938,2026-08-31T17:07:05.610933+00:00
EURCAD,EURCADm,5,1e-05,1e-05,0.7214122365943573,100000.0,0.01,200.0,0.01,EUR,CAD,EUR,5000,14.999999999987244,15.000000000009448,14.999999999999957,15.000000000009448,15.000000000009448,15.000000000009448,15.000000000009448,15.000000000009448,1.6099299999999999,1.61008,0.0001500000000000945,15.000000000009448,1.0,2026-08-31T17:07:06.745705+00:00
EURNZD,EURNZDm,5,1e-05,1e-05,0.5917100000000001,100000.0,0.01,200.0,0.01,EUR,NZD,EUR,5000,21.99999999998869,22.000000000010896,22.00000000000011,22.000000000010896,22.000000000010896,22.000000000010896,22.000000000010896,22.000000000010896,1.96275,1.9629699999999999,0.00021999999999988695,21.99999999998869,0.9999999999989907,2026-08-31T17:07:08.217271+00:00
GBPJPY,GBPJPYm,3,0.001,0.001,0.6261779973575289,100000.0,0.01,200.0,0.01,GBP,JPY,GBP,5000,20.999999999986585,21.000000000015007,21.071800000000025,21.000000000015007,21.000000000015007,21.99999999999136,22.00000000001978,22.00000000001978,216.336,216.357,0.020999999999986585,20.999999999986585,0.9545454545452197,2026-08-31T17:07:10.103288+00:00
GBPCHF,GBPCHFm,5,1e-05,1e-05,1.2372256452131742,100000.0,0.01,200.0,0.01,GBP,CHF,GBP,5000,14.999999999987244,15.000000000009448,15.000000000000078,15.000000000009448,15.000000000009448,15.000000000009448,15.000000000009448,15.000000000009448,1.09481,1.09496,0.00014999999999987246,14.999999999987244,0.9999999999985197,2026-08-31T17:07:11.041040+00:00
GBPAUD,GBPAUDm,5,1e-05,1e-05,0.71663,100000.0,0.01,200.0,0.01,GBP,AUD,GBP,5000,20.999999999982144,21.00000000000435,21.000000000000128,21.00000000000435,21.00000000000435,21.00000000000435,21.00000000000435,21.00000000000435,1.89019,1.8904,0.00021000000000004349,21.00000000000435,1.0,2026-08-31T17:07:12.233855+00:00
GBPCAD,GBPCADm,5,1e-05,1e-05,0.7214226454568409,100000.0,0.01,200.0,0.01,GBP,CAD,GBP,5000,17.999999999984695,18.0000000000069,17.999999999999613,18.0000000000069,18.0000000000069,18.000000000029104,18.000000000029104,18.000000000029104,1.87757,1.87775,0.000180000000000069,18.0000000000069,0.9999999999987664,2026-08-31T17:07:13.467844+00:00
